Comment,Designator,Footprint,JLCPCB_Part_#
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K1,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K2,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K3,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K4,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K5,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K6,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K7,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K8,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K9,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K10,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K11,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K12,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K13,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K14,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K15,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K16,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K17,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K18,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K19,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K20,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K21,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K22,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K23,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K24,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K25,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K26,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K27,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K28,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K29,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K30,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K31,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K32,pg1232-D,C81598
Kathode_towards_right_pad_(closed_end_of_rectangle_on_silkscreen),K33,pg1350-D,C81598
